A1,A2a,A2a1,A3_1,A3_2,A3_3,A3_4,A3_5,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_9,A5,A5a,A6,A61,B1,B1a,B2,B2a,B3_1,B3_2,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_9,B3_10,B3_11,B4,B4a,B5,B5a,B6,B6a,B7,B7a,B8,B8a,B9,B10,B102,B103,B104,B105,B11,B111,B112_1,B112_2,B112_3,B112_4,B112_5,B112_6,B112_7,B112_8,B112_9,B112_10,B112_11,B112_12,B112_13,B112_14,B112_15,C1,C1a,C1b,C1c,C1d,C2,C2a,C3,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C5,C61,C61a,C62,C62a,C63,C63a,C64,C64a,C7,C8,C8a,E1,E2,E2Y,E2M,E3,E4,E5,E7,E8a,E8b,code,YY,CC,CITY,ENERGY_CODE,TY,WI
1,,,1,,,,,1,,,,,,,,,2,,1,,1,,5,,,,,1,,,,,,,,4,,2,,2,,3,,2,,,2,,,,,2,1,,,,,,,,,1,,,,,,,1,50,,3000,200,4,,2,1,,,,,,1,1,,1,,1,,1,,,,,1,10,43,9,1,9,,1,1,2,110072,2005,1794,1,5,1,70
1,,,1,,,,,1,1,,,,1,,,,2,,1,,6,,2,,,,1,1,1,1,1,1,1,1,,6,,2,,2,,7,,6,,3,2,,1,3,2,2,1,,,,,,,,,,,,,,,1,2,53,3,3000,200,5,,4,1,,,,,,1,1,,1,,1,,1,,4,12,,1,8,,,3,13,3,1,1,2,110073,2005,1598,1,1,1,70
1,,,1,,,,,1,,,,1,,,1,,2,,1,,3,,4,,,,1,1,,,,,1,1,,4,,4,,2,,6,,7,,3,1,,,,,2,1,1,1,,,,,,,,,,,,1,,1,82,,3000,200,4,,2,1,,1,,,,3,1,,1,,1,,2,2000,3,11,,1,7,,,4,12,1,1,2,1,110074,2014,1987,1,1,1,70
1,,,1,,,,,1,,1,,1,,,1,,2,,2,,3,,3,,,,,1,1,1,1,1,1,1,,4,,5,,3,,5,,3,,,1,1,,,,2,1,1,,,,,,,,,,,,,,,2,61,3,3000,200,6,,6,1,,,,,,1,1,,1,,1,,1,,1,13,,2,9,,,3,7,3,1,1,2,110075,2010,1798,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,4,,3,,,,,1,1,1,1,1,,,,4,,4,,2,,5,,4,,2,2,,2,1,3,1,,,,,,,,,,,,,,,,,2,50,3,3000,200,5,,4,1,,,,,,1,1,,1,,1,,1,,5,10,,1,9,,,2,8,4,1,1,2,110077,2010,1998,1,1,1,70
1,,,1,,,,,1,,,,1,1,,,,2,,1,,3,,4,,,1,1,1,1,1,1,,,,,4,,2,,1,,4,,3,,4,1,1,,,,2,1,1,,,,,,,,,,,,,,,2,78,3,3000,200,5,,6,1,1,1,1,,,5,1,,1,,1,,2,5000,5,10,,1,7,,,3,10,4,1,2,1,110078,2013,1987,1,1,1,70
1,,,1,,,,,1,,,,1,,,,,2,,1,,3,,1,,,,1,1,1,1,1,1,1,1,,5,,2,,1,,7,,5,,3,1,1,,,,1,,,,,,,,,,,,,,,,,2,83,3,3000,200,8,,2,1,,,,,,1,1,,1,,1,,2,1300,6,14,,1,7,,,3,9,1,1,1,2,110080,2012,1987,1,1,1,70
1,,,1,,,,,1,1,1,,1,,,1,,2,,1,,3,,4,,,,1,1,1,1,,,,,,4,,4,,2,,3,,3,,2,1,1,,,,2,1,1,1,1,,,,,,,,,,,,,1,95,,3000,200,3,,5,1,,1,1,,,7,1,,1,,1,,2,2500,6,8,,1,10,42,10,3,13,1,1,1,2,110083,2014,1987,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,5,,2,,,,,,1,1,1,1,1,1,,5,,5,,4,,5,,6,,2,2,,,5,2,2,1,1,,,,1,,,,,,,,,,,2,78,2,3000,200,7,,4,1,1,1,,,,4,1,,1,,1,,1,,6,10,,1,9,,,3,13,1,1,2,1,110084,2014,1987,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,2,6,2,,6,,,,1,,,,1,1,,,,3,,2,,2,,4,,4,,2,2,,2,4,2,2,,1,,,,,,,,,,,,,,,1,20,,3000,200,2,,5,1,,1,,,,1,1,,1,,1,,1,,5,4,,1,10,43,2,1,13,1,1,1,2,110085,2005,1998,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,1,,2,,1,,,,,,,,,,1,1,,3,,3,,2,,2,,4,2,,2,1,2,2,1,1,,,,,,,,,,,,,,1,1,65,,3000,200,1,,2,1,,,,,,1,1,,1,,1,,1,,2,3,,1,8,,,4,13,1,1,1,2,110087,2012,1798,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,2,2,3,,4,,,,1,1,1,,,,,,,3,,5,,4,,3,,2,,1,2,,2,2,2,2,1,1,,,,,,,,,,,,,,,1,60,,3000,200,3,,3,1,1,,,,,1,1,,1,,1,,1,,4,5,,1,9,,,2,10,1,1,1,2,110088,2005,1998,1,5,1,70
1,,,1,,,,,,,,,1,,,,,2,,1,,4,,4,,,,,1,1,,,1,1,,,3,,4,,3,,3,,2,,3,1,1,,,,2,,1,,,,,,,,,,,,,,,2,69.8,,3000,200,,,2,1,,1,,,,5,1,,1,,1,,1,,7,5,,1,7,,,2,12,1,1,1,2,110089,2015,1798,1,1,1,70
1,,,1,,,,,1,1,,,1,,,,,2,,1,,4,,3,,,,,1,1,,,1,1,1,,5,,6,,5,,5,,7,,3,1,1,,,,2,1,1,,,,,,,,,,,,,,,1,64,,3000,200,6,,4,1,1,,,,,2,1,,1,,1,,2,2600,5,10,,1,8,,,3,13,1,1,2,1,110091,2015,1798,1,1,1,70
1,,,1,,,,,1,,1,,1,,,,,2,,1,,4,,1,,,,1,1,1,1,1,1,1,1,,7,16,5,,3,,1,,1,,1,1,2,,,,2,,,,,,,,,,1,,,,,,,2,65,3,3000,200,7,,6,1,1,1,1,1,,7,1,,1,,1,,1,,2,1,,1,9,,,5,12,3,1,1,2,110093,2012,1798,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,4,,3,,,,,,1,1,1,,,1,,4,,1,,2,,6,,4,,2,2,,2,5,,2,1,1,,,,,,,,1,,,,,,1,2,100,4,3000,200,6,,6,1,1,1,1,1,,5,1,,1,,1,,1,,3,8,,1,9,,,2,13,1,1,1,2,110094,2009,2362,1,1,1,70
1,,,1,,,,,1,,,,,1,,,,2,,1,,3,,1,,,,,,,,,,1,1,1,3,,3,,3,,2,,2,,2,2,,2,4,2,2,,1,,,,,,,,,,,,,,,1,50,,3000,200,4,,4,1,,,,,,1,1,,1,,1,,1,,2,2,,1,10,44,8,2,12,1,1,1,3,110095,2003,1584,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,3,,6,25,,,,,,,,1,1,1,,3,,3,,4,,2,,1,,2,2,,2,5,2,2,1,,,,,,,,,1,,,,,,,1,95,,3000,200,3,,2,1,,,,,,1,1,,1,,1,,1,,4,4,,1,8,,,3,13,1,1,1,2,110096,2011,1987,1,5,1,70
2,,,1,,,,,1,,1,,,,,,,2,,1,,4,,6,,,,,,,,1,,,,1,3,,4,,4,,8,,7,,2,2,,2,5,,2,,1,1,1,,1,,,,,,,,,,,2,96,3,3000,200,8,,3,1,1,,,,,2,1,,1,,1,,1,,6,7,,1,8,,,3,13,2,1,1,2,110100,2009,1998,1,1,1,70
1,,,1,,,,,1,1,,,1,1,,,,2,,1,,4,,3,,,,,,1,1,1,,1,1,1,5,,8,,5,,5,,3,,3,1,1,,,,1,,,,,,,,,,,,,,,,,2,75,3,3000,200,5,,5,1,1,1,1,,,5,1,,1,,1,,2,3000,4,10,,1,5,,,3,10,1,1,2,1,110101,2015,1987,1,1,1,70
1,,,1,,,,,,,,,,,,,,2,,1,,2,,5,,,1,,1,,,,,,,,3,,4,,3,,3,,2,,2,2,,2,1,,2,,1,,,,,,,,,,,,,,,2,68,3,3000,200,4,,5,1,,,,,,3,1,,1,,1,,1,,6,4,,1,10,39,7,3,12,1,1,1,2,110102,2013,1798,1,1,1,70
1,,,1,,,,,1,1,1,,1,,,,,2,,1,,5,,4,,,,1,1,,1,,1,,,,5,,5,,3,,8,,11,,2,1,,,,,2,1,1,,,,,,,,,,,,,,,1,90,,3000,200,6,,6,1,,,,,,1,1,,1,,1,,1,,5,15,,,8,,,3,13,1,1,1,2,110104,2015,1998,1,1,1,70
1,,,1,1,,,,1,,,,,1,,,,2,,1,,4,,3,,1,,,1,,,,,,,,5,,2,,1,,9,,13,,6,2,,,5,,2,1,,,,,1,,,,,,,,,,,2,50,3,3000,200,5,,2,1,,,,,,2,1,,1,,1,,1,,7,14,,1,8,,,3,13,1,1,2,1,110106,2014,1798,1,1,1,70
